ward_id,metro,registered,valid,spoilt,n_vd,turnout,spoilt_rate,winner,winner_share,margin,enp,share_ANC,share_DA,share_EFF,share_ActionSA,tent_share,deprivation_score,pred_turnout,ward_gap_pp,risk_tier,forecast_2026,forecast_lo,forecast_hi,ward_num,top_vds
79800092,Johannesburg,17488,6320,55,5,0.3645,0.0086,ANC,0.3995,0.1877,3.8727,0.3995,0.2119,0.1794,0.143,0.1313,0.95,0.3966,-3.2016,Medium risk,0.3694,0.3174,0.4214,92,"[{'VotingDistrict': 32910016, 'station': 'RANDJESFONTEIN HOMESTEAD', 'station_type': 'Other', 'registered': 3246, 'turnout': 0.46642020948860136, 'tent': 0}, {'VotingDistrict': 32910308, 'station': 'SEDI-LAKA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 6891, 'turnout': 0.2983601799448556, 'tent': 0}, {'VotingDistrict': 32910342, 'station': 'DRAKE KOKA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 5055, 'turnout': 0.32561819980217604, 'tent': 0}]"
79800093,Johannesburg,19644,10177,63,5,0.5213,0.0062,DA,0.6641,0.4826,2.0832,0.0554,0.6641,0.0337,0.1816,0.2326,0.95,0.521,0.0271,Low risk,0.485,0.433,0.537,93,"[{'VotingDistrict': 32841772, 'station': 'TENT - KINGFISCHER PARK', 'station_type': 'Tent', 'registered': 662, 'turnout': 0.729607250755287, 'tent': 1}, {'VotingDistrict': 32850738, 'station': 'EDISON CRESCENT PARK - SUNNINGHILL SHOPPING CENTRE', 'station_type': 'Hall/Centre', 'registered': 4969, 'turnout': 0.4447574964781646, 'tent': 0}, {'VotingDistrict': 32850761, 'station': 'RIVONIA SPORTS CLUB', 'station_type': 'Other', 'registered': 3318, 'turnout': 0.5509342977697408, 'tent': 0}]"
79800094,Johannesburg,17305,8092,36,5,0.4697,0.0044,DA,0.7323,0.6136,1.7937,0.0772,0.7323,0.0231,0.1188,0.0589,0.5822,0.5524,-8.2745,High risk,0.4415,0.3895,0.4935,94,"[{'VotingDistrict': 32840018, 'station': 'TENT @ RIVERSANDS INCUBATION HUB', 'station_type': 'Tent', 'registered': 1020, 'turnout': 0.257843137254902, 'tent': 1}, {'VotingDistrict': 32840580, 'station': 'WITKOPPEN COMBINED SCHOOL', 'station_type': 'School', 'registered': 3745, 'turnout': 0.5222963951935915, 'tent': 0}, {'VotingDistrict': 32850536, 'station': 'LONEHILL FIRE STATION', 'station_type': 'Other', 'registered': 8218, 'turnout': 0.44609394013141884, 'tent': 0}]"
79800095,Johannesburg,17995,5237,124,5,0.2979,0.0231,ANC,0.6664,0.4739,2.0539,0.6664,0.0325,0.1925,0.0603,0.1605,0.95,0.4012,-10.3289,High risk,0.2967,0.2447,0.3487,95,"[{'VotingDistrict': 32841176, 'station': 'DIEPSLOOT YOUTH CENTRE', 'station_type': 'Hall/Centre', 'registered': 5183, 'turnout': 0.28226895620297127, 'tent': 0}, {'VotingDistrict': 32841187, 'station': 'MUZOMUHLE PRIMARY SCHOOL', 'station_type': 'School', 'registered': 4439, 'turnout': 0.2818202297814823, 'tent': 0}, {'VotingDistrict': 32841389, 'station': 'NEIGHBOURHOOD CENTRE', 'station_type': 'Hall/Centre', 'registered': 4508, 'turnout': 0.29569653948535934, 'tent': 0}]"
79800096,Johannesburg,21882,10233,126,9,0.4734,0.0122,ANC,0.3615,0.0291,3.7509,0.3615,0.3324,0.0891,0.1109,0.4612,0.95,0.3887,8.4703,Low risk,0.4669,0.4149,0.5189,96,"[{'VotingDistrict': 32841255, 'station': 'TENT AFRICA ABLAZE MINISTRIES', 'station_type': 'Tent', 'registered': 1469, 'turnout': 0.5343771272974813, 'tent': 1}, {'VotingDistrict': 32841288, 'station': 'PARADISE BEND SCHOOL', 'station_type': 'School', 'registered': 3009, 'turnout': 0.3811897640412097, 'tent': 0}, {'VotingDistrict': 32841323, 'station': 'KWENA MOLAPO SCHOOL', 'station_type': 'School', 'registered': 1126, 'turnout': 0.37211367673179396, 'tent': 0}]"
79800097,Johannesburg,22293,11619,79,5,0.5247,0.0068,DA,0.647,0.4895,2.2028,0.0714,0.647,0.0391,0.1575,0.0,0.4128,0.5318,-0.7087,Medium risk,0.5167,0.4647,0.5687,97,"[{'VotingDistrict': 32870314, 'station': 'RUIMSIG SPORT COMPLEX / STADIUM', 'station_type': 'Other', 'registered': 3556, 'turnout': 0.49634420697412823, 'tent': 0}, {'VotingDistrict': 32870358, 'station': 'PANORAMA SPORT CLUB', 'station_type': 'Other', 'registered': 7619, 'turnout': 0.5080719254495341, 'tent': 0}, {'VotingDistrict': 32871225, 'station': 'RIDGECREST FAMILY CHURCH', 'station_type': 'Church', 'registered': 7224, 'turnout': 0.5478959025470653, 'tent': 0}]"
79800098,Johannesburg,17173,8412,32,5,0.4917,0.0038,DA,0.657,0.5348,2.1725,0.1015,0.657,0.0384,0.1222,0.0,0.4297,0.5338,-4.2135,Medium risk,0.5347,0.4827,0.5867,98,"[{'VotingDistrict': 32840096, 'station': 'NORTHCLIFF PRIMARY SCHOOL', 'station_type': 'School', 'registered': 5593, 'turnout': 0.5737529054174861, 'tent': 0}, {'VotingDistrict': 32840366, 'station': 'WINDSOR EAST RECREATION CENTRE', 'station_type': 'Hall/Centre', 'registered': 2911, 'turnout': 0.39780144280316043, 'tent': 0}, {'VotingDistrict': 32840388, 'station': 'ROBIN HILLS PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3463, 'turnout': 0.5108287611897199, 'tent': 0}]"
79800099,Johannesburg,14914,8435,42,5,0.5684,0.005,DA,0.7515,0.6536,1.7239,0.0481,0.7515,0.0126,0.0979,0.0,0.3636,0.564,0.4402,Low risk,0.5599,0.5079,0.6119,99,"[{'VotingDistrict': 32840131, 'station': 'LAERSKOOL LOUW GELDENHUYS', 'station_type': 'School', 'registered': 2987, 'turnout': 0.5577502510880482, 'tent': 0}, {'VotingDistrict': 32840142, 'station': 'LINDEN HOËRSKOOL', 'station_type': 'Other', 'registered': 3474, 'turnout': 0.5823258491652274, 'tent': 0}, {'VotingDistrict': 32840355, 'station': 'LAERSKOOL UNIKA', 'station_type': 'School', 'registered': 3711, 'turnout': 0.5206143896523848, 'tent': 0}]"
79800100,Johannesburg,19490,7755,106,8,0.4033,0.0135,ANC,0.5452,0.3399,2.7172,0.5452,0.0491,0.2053,0.1591,0.0,0.688,0.4034,-0.0084,Medium risk,0.4083,0.3563,0.4603,100,"[{'VotingDistrict': 32841200, 'station': 'COSMO CITY MULTIPUREPOSE CENTRE', 'station_type': 'Hall/Centre', 'registered': 3684, 'turnout': 0.33713355048859933, 'tent': 0}, {'VotingDistrict': 32841334, 'station': 'SGODIPHOLA SECONDARY SCHOOL', 'station_type': 'School', 'registered': 4172, 'turnout': 0.31999041227229147, 'tent': 0}, {'VotingDistrict': 32841424, 'station': 'ITSOSENG DEVELOPMENT TRUST INFORMAL SETTLEMENT', 'station_type': 'Other', 'registered': 2368, 'turnout': 0.38091216216216217, 'tent': 0}]"
79800101,Johannesburg,21370,10876,17,4,0.5097,0.0016,DA,0.6413,0.4346,2.1759,0.0551,0.6413,0.0331,0.2067,0.0,0.4186,0.5303,-2.0615,Medium risk,0.5088,0.4568,0.5608,101,"[{'VotingDistrict': 32840535, 'station': 'RANDPARK RIDGE UNITED CHURCH', 'station_type': 'Church', 'registered': 5940, 'turnout': 0.5496632996632996, 'tent': 0}, {'VotingDistrict': 32840546, 'station': 'HUNTERS HILL FIRE STATION', 'station_type': 'Other', 'registered': 3651, 'turnout': 0.5138318268967407, 'tent': 0}, {'VotingDistrict': 32840568, 'station': 'SHARONLEA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 5917, 'turnout': 0.4967044110190975, 'tent': 0}]"
79800102,Johannesburg,18726,9784,81,5,0.5268,0.0082,DA,0.7122,0.585,1.8859,0.0673,0.7122,0.0378,0.1271,0.0,0.395,0.5514,-2.4547,Medium risk,0.5208,0.4688,0.5728,102,"[{'VotingDistrict': 32840423, 'station': 'LAERSKOOL FONTAINEBLEAU', 'station_type': 'School', 'registered': 3123, 'turnout': 0.5405059237912264, 'tent': 0}, {'VotingDistrict': 32840456, 'station': 'BORDEAUX PRIMARY SCHOOL', 'station_type': 'School', 'registered': 4712, 'turnout': 0.4333616298811545, 'tent': 0}, {'VotingDistrict': 32840467, 'station': 'BLAIRGOWRIE COMMUNITY CENTRE', 'station_type': 'Hall/Centre', 'registered': 3776, 'turnout': 0.5609110169491526, 'tent': 0}]"
